outer_j,agent,model,M,objective_primary,lex_used,phi_terminal,ri_terminal,r_term0,r_term1,diam_C,t_primary_ms,t_lex_ms,t_total_ms,n_var_primary,n_eq_primary,n_ineq_primary,n_var_lex,n_eq_lex,n_ineq_lex,nominal_fallback_used,nominal_status,bary_r0,bary_r1
13,1,single_integrator,7,46.651035246434994,0,0.8401886155816113,1,-0.025135171108544116,-4.163008260756634,4.400340114294529,32.57654000481125,0.0,32.57654000481125,17,3,64,0,0,0,1,nan,-0.024645967731527385,-4.1624808010294245
13,2,single_integrator,7,51.297971700380174,0,0.6493142868270533,1,-0.31710354054857676,-3.24070472020955,4.400340114294529,36.171594001643825,0.0,36.171594001643825,17,3,64,0,0,0,1,nan,-0.31785542212452583,-3.240764792687809
13,3,single_integrator,7,2.422012623021937,0,0.18777452187117818,1,-1.1872663443189853,-3.2088402555157436,4.160606140737359,32.40983599971514,0.0,32.40983599971514,17,3,64,0,0,0,1,nan,-1.1872093857810666,-3.2089938703319745
13,4,single_integrator,7,12.6784739391247,0,0.4787659304500446,1,-1.658805922395223,-4.6535234198709325,3.388019747755322,28.939463998540305,0.0,28.939463998540305,17,3,64,0,0,0,1,nan,-1.658600113266722,-4.653836803656663
14,1,single_integrator,7,45.816931011333615,0,0.8518462305296377,1,-0.02607310648557426,-4.206550518684103,4.370322924177264,30.673310000565834,0.0,30.673310000565834,17,3,64,0,0,0,1,nan,-0.025581447247702394,-4.20603423164053
14,2,single_integrator,7,51.61098371440488,0,0.6602577256647474,1,-0.3243552933222239,-3.3018382599807277,4.370322924177264,36.736860005476046,0.0,36.736860005476046,17,3,64,0,0,0,1,nan,-0.32511086861711863,-3.3018771836417997
14,3,single_integrator,7,2.527863841283352,0,0.18484559260320507,1,-1.1912835131556945,-3.265218052702813,4.194662144297581,32.7060130002792,0.0,32.7060130002792,17,3,64,0,0,0,1,nan,-1.1912219009544303,-3.26537367825911
14,4,single_integrator,7,13.008569995429605,0,0.481573887128436,1,-1.6664482025384602,-4.673875907556575,3.350610001206733,31.038313994940836,0.0,31.038313994940836,17,3,64,0,0,0,1,nan,-1.66624580894176,-4.674197251374798
15,1,single_integrator,7,25.635204265970778,0,0.746931785748719,1,0.932039383153348,-4.41455144188339,3.2453566009563577,47.90188199694967,0.0,47.90188199694967,17,3,64,0,0,0,1,nan,0.9321376224596855,-4.414027229018957
15,2,single_integrator,7,21.598533223477492,0,1.369983933062376,1,0.774335374798715,-4.0610912664559615,2.740946645448292,35.20882000157144,0.0,35.20882000157144,16,3,63,0,0,0,1,nan,0.7739779127608176,-4.061425516572723
15,3,single_integrator,7,8.01031543310446,0,0.289507107672914,1,-0.9341156990836684,-3.335794736226038,3.2453566009563577,30.123581003863364,0.0,30.123581003863364,17,3,64,0,0,0,1,nan,-0.9339471892116009,-3.3360405311501204
15,4,single_integrator,7,9.670982650218518,0,0.3141088566468713,1,-0.7175455377596157,-4.843845554034724,3.2473828691890145,35.33834800327895,0.0,35.33834800327895,17,3,64,0,0,0,1,nan,-0.7173005666852618,-4.8440628222936155
16,1,single_integrator,7,29.026611800083344,0,0.7682659079092793,1,1.0801786517293837,-4.762345319474693,3.305235542188231,27.277150998997968,0.0,27.277150998997968,17,3,64,0,0,0,1,nan,1.0801025112919762,-4.761782918956269
16,2,single_integrator,7,16.61312931213089,0,0.5996963570223274,1,0.5444447337338435,-3.49638730003022,3.823702120985804,34.021261999441776,0.0,34.021261999441776,17,3,64,0,0,0,1,nan,0.5440214045100447,-3.4964583938689815
16,3,single_integrator,7,11.142588072854993,0,0.42220473265143865,1,-0.9931227956902653,-3.524002754607878,3.305235542188231,31.07263200217858,0.0,31.07263200217858,17,3,64,0,0,0,1,nan,-0.9929808017508855,-3.524324269031705
16,4,single_integrator,7,14.110767995352893,0,0.4293550142405955,1,-0.5494497566523486,-5.12641549707508,3.823702120985804,36.04762399481842,0.0,36.04762399481842,17,3,64,0,0,0,1,nan,-0.5490922847952345,-5.126584853106642
17,1,single_integrator,7,26.644910361032657,0,0.7340730494427525,1,1.0362136842168002,-4.697083678171094,3.18419070717864,31.983426000806503,0.0,31.983426000806503,17,3,64,0,0,0,1,nan,1.0361278158903433,-4.6965467478860585
17,2,single_integrator,7,13.21376295865846,0,0.5326357053112581,1,0.5457457229193757,-3.3179129193972554,3.9893034559009015,40.07585700310301,0.0,40.07585700310301,17,3,64,0,0,0,1,nan,0.5453639447599274,-3.317941422105897
17,3,single_integrator,7,14.92943858874622,0,0.5356964836831992,1,-0.9862112022733405,-3.3909600682459233,3.18419070717864,30.56605000165291,0.0,30.56605000165291,17,3,64,0,0,0,1,nan,-0.9861152485424952,-3.391355436174799
17,4,single_integrator,7,13.601559871856981,0,0.4808716464888316,1,-0.5098409827141537,-4.967738992154948,3.9893034559009015,33.162990999699105,0.0,33.162990999699105,17,3,64,0,0,0,1,nan,-0.5094692990160825,-4.967851630529656
